01 807C 807C 807C 807C 807C 807C 807C 807C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 806C 807C 807C 807C 807C 807C
02 807C 807C 807C 807C 808C 808C 808C 808C 808C 808C 808C 809C 809C 809C 809C 809C 809C 810C 810C 810C 810C 810C 810C 810C 811C 811C 811C 811C 811C -8888 -8888 
03 811S 811S 811S 811S 811S 811S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 811S 811S 811S 811S 811S 811S 811S
04 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S -8888 
05 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S 812S
06 812S 812S 812S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 811S 810S 810S 810S 810S 810S 810S 810S 810S 810S 809S 809S 809S 809S 809S -8888 
07 809S 809S 809S 809S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S
08 808S 808S 808S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S 810S
09 810S 810S 810S 810S 810S 809S 809S 809S 809S 809S 809S 809S 809S 809S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S -8888 
10 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S
11 810S 810S 810S 810S 810S 810S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 809S 808S 808S 808S 808S 808S 808S -8888 
12 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 808S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S 807S
