01 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18C 17C 17C 17C 17C 17C 18C 18C 18C 18C
02 18C 18C 18C 18C 18C 18C 17C 17C 17C 17C 17C 17C 17C 17C 17C 17C 17C 17C 17C 18C 18C 18C 18C 18C 18C 18C 18C 18C 18S -8888 -8888 
03 18S 18S 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S
04 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S -8888 
05 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S 18S 18S
06 18S 18S 18S 18S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S -8888 
07 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 17S 17S 17S 17S 17S 17S
08 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S
09 17S 17S 18S 18S 18S 18S 18S 18S 18S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S -8888 
10 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S
11 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 19S 19S 19S 19S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S -8888 
12 18S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S
