01 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S 14S
02 14C 14C 14C 14C 14C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C -8888 -8888 
03 15C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C
04 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C -8888 
05 16C 16C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C
06 15C 15C 15C 15C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C -8888 
07 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 16C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C
08 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C 15C
09 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S -8888 
10 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S
11 16S 16S 16S 16S 16S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S -8888 
12 17S 17S 17S 17S 17S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S 15S
