01 19S 19S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S
02 21S 21S 21S 21S 21S 21S 21S 21S 21S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S 20S -8888 -8888 
03 20S 20S 20S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 21S 20S 20S 20S 20S 20S 20S 20S 20S 20S 19S 19S 19S
04 19S 19S 19S 19S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S -8888 
05 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S 18S 18S 18S 18S
06 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 17S 17S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S -8888 
07 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S
08 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S 18S
09 18S 18S 18S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S -8888 
10 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 17S 16S 16S 16S 16S 16S 16S 16S 16S
11 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 16S 17S 17S 17S 17S 17S 17S 18S 18S 18S 18S -8888 
12 18S 18S 18S 18S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S 19S
